,,James Carzon,tworandomnames,22733wiag5lbm6rbw3dwf4aja,Steven,Nick King,"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Rowan,brianmck12,fionajeon,Em Johnson,CyberGrifter,Rinu,Marianna Orth,Andrew Polaski
James Carzon,Clowncore,,-1.0,-1.0,,-2.0,2.0,1.0,3.0,1.0,2.0,,,,
James Carzon,A Rip-Roaring Road Rager,,2.0,1.0,1.0,1.0,5.0,-1.0,,-2.0,,,,,
James Carzon,A Midsummer Night's Stream,,4.0,2.0,4.0,5.0,15.0,,,4.0,,,,,
James Carzon,Songs to Send Your FBI Agent,,-3.0,2.0,-2.0,3.0,2.0,3.0,1.0,,,,,,
James Carzon,Dance Dance Evolution!,,2.0,-2.0,-2.0,4.0,2.0,-1.0,-4.0,,-2.0,,,,
James Carzon,A Dot in the Shark,,-1.0,1.0,1.0,1.0,3.0,6.0,1.0,-1.0,,,,,
James Carzon,"Red, White, Black, and Blue",,7.0,1.0,2.0,1.0,1.0,-1.0,2.0,1.0,3.0,,,,
James Carzon,Pub Hubbub,,1.0,-2.0,-2.0,1.0,3.0,,5.0,-1.0,1.0,1.0,,,
James Carzon,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,1.0,3.0,-2.0,1.0,2.0,3.0,,,4.0,,,,
James Carzon,Villain Arc,,-1.0,2.0,-2.0,1.0,-1.0,,4.0,-2.0,2.0,,,,
James Carzon,Undercover Mob,,6.0,1.0,,,8.0,4.0,-5.0,-2.0,,,,,
James Carzon,...The Last of the Groomsmaids!,,4.0,-3.0,,4.0,-3.0,-1.0,,4.0,,,,,
tworandomnames,Clowncore,-1.0,,1.0,,2.0,0.0,3.0,1.0,1.0,3.0,,,,
tworandomnames,A Rip-Roaring Road Rager,3.0,,3.0,1.0,2.0,7.0,5.0,0.0,2.0,0.0,3.0,,,
tworandomnames,A Midsummer Night's Stream,2.0,,-3.0,-2.0,-2.0,0.0,7.0,,4.0,,,,,
tworandomnames,Songs to Send Your FBI Agent,-2.0,,5.0,3.0,-2.0,2.0,1.0,,,,,,,
tworandomnames,Dance Dance Evolution!,-1.0,,2.0,2.0,3.0,-1.0,-1.0,-1.0,,5.0,,,,
tworandomnames,A Dot in the Shark,4.0,,4.0,1.0,5.0,-3.0,-1.0,-2.0,4.0,,,,,
tworandomnames,"Red, White, Black, and Blue",2.0,,3.0,3.0,3.0,2.0,5.0,9.0,6.0,2.0,,,,
tworandomnames,Pub Hubbub,-1.0,,-2.0,3.0,-2.0,-1.0,,1.0,4.0,2.0,2.0,,,
tworandomnames,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,4.0,,-3.0,-3.0,-3.0,2.0,6.0,,,-2.0,,,,
tworandomnames,Villain Arc,-1.0,,-3.0,1.0,2.0,1.0,-3.0,-3.0,2.0,-1.0,,,,
tworandomnames,Undercover Mob,7.0,,-2.0,,,-1.0,-1.0,0.0,2.0,,,,,
tworandomnames,...The Last of the Groomsmaids!,4.0,,3.0,,-5.0,5.0,-1.0,,7.0,,,,,
22733wiag5lbm6rbw3dwf4aja,Clowncore,-2.0,-2.0,,,1.0,-5.0,-4.0,-2.0,2.0,-3.0,,,,
22733wiag5lbm6rbw3dwf4aja,A Rip-Roaring Road Rager,5.0,4.0,,6.0,2.0,0.0,0.0,0.0,1.0,,,,,
22733wiag5lbm6rbw3dwf4aja,A Midsummer Night's Stream,4.0,3.0,,-1.0,4.0,-3.0,1.0,,-2.0,,,,,
22733wiag5lbm6rbw3dwf4aja,Songs to Send Your FBI Agent,1.0,2.0,,1.0,3.0,-2.0,7.0,2.0,,,,,,
22733wiag5lbm6rbw3dwf4aja,Dance Dance Evolution!,-2.0,-2.0,,2.0,1.0,2.0,4.0,1.0,,3.0,,,,
22733wiag5lbm6rbw3dwf4aja,A Dot in the Shark,-2.0,2.0,,1.0,3.0,3.0,3.0,0.0,4.0,,,,,
22733wiag5lbm6rbw3dwf4aja,"Red, White, Black, and Blue",4.0,1.0,,3.0,2.0,1.0,,-1.0,2.0,-2.0,,,,
22733wiag5lbm6rbw3dwf4aja,Pub Hubbub,2.0,2.0,,5.0,2.0,1.0,-1.0,1.0,1.0,4.0,2.0,,,
22733wiag5lbm6rbw3dwf4aja,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,-2.0,-2.0,,2.0,6.0,-3.0,,,,4.0,,,,
22733wiag5lbm6rbw3dwf4aja,Villain Arc,3.0,3.0,,3.0,3.0,,2.0,,3.0,1.0,,,,
22733wiag5lbm6rbw3dwf4aja,Undercover Mob,-1.0,-1.0,,,,4.0,0.0,0.0,4.0,,,,,
22733wiag5lbm6rbw3dwf4aja,...The Last of the Groomsmaids!,4.0,5.0,,,1.0,4.0,2.0,,-3.0,,,,,
Steven,Clowncore,,,,,,,,,,,,,,
Steven,A Rip-Roaring Road Rager,,4.0,1.0,,2.0,0.0,-2.0,,,,,,,
Steven,A Midsummer Night's Stream,2.0,1.0,-1.0,,-1.0,,,,,,,,,
Steven,Songs to Send Your FBI Agent,2.0,3.0,-1.0,,4.0,3.0,-1.0,10.0,,,,,,
Steven,Dance Dance Evolution!,1.0,3.0,6.0,,3.0,3.0,1.0,,,-1.0,,,,
Steven,A Dot in the Shark,-3.0,3.0,1.0,,2.0,2.0,4.0,6.0,2.0,,,,,
Steven,"Red, White, Black, and Blue",-2.0,-1.0,2.0,,2.0,3.0,1.0,2.0,4.0,3.0,,,,
Steven,Pub Hubbub,0.0,0.0,,,,-1.0,9.0,1.0,1.0,-1.0,3.0,,,
Steven,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,5.0,3.0,4.0,,-2.0,5.0,0.0,,,3.0,,,,
Steven,Villain Arc,5.0,-1.0,-1.0,,-2.0,-3.0,,10.0,-2.0,-1.0,,,,
Steven,Undercover Mob,-3.0,5.0,5.0,,,-2.0,11.0,0.0,-1.0,,,,,
Steven,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
Nick King,Clowncore,-2.0,3.0,6.0,,,6.0,-1.0,-3.0,-2.0,4.0,,,,
Nick King,A Rip-Roaring Road Rager,-2.0,,1.0,,,0.0,,,4.0,,10.0,,,
Nick King,A Midsummer Night's Stream,2.0,-2.0,4.0,2.0,,,-1.0,,3.0,,,,,
Nick King,Songs to Send Your FBI Agent,-2.0,-2.0,2.0,-3.0,,3.0,-2.0,-2.0,,,,,,
Nick King,Dance Dance Evolution!,-2.0,3.0,-1.0,-3.0,,1.0,6.0,1.0,,4.0,,,,
Nick King,A Dot in the Shark,1.0,2.0,4.0,5.0,,2.0,-2.0,-3.0,3.0,,,,,
Nick King,"Red, White, Black, and Blue",1.0,2.0,-1.0,1.0,,1.0,4.0,-4.0,-2.0,,,,,
Nick King,Pub Hubbub,-1.0,-1.0,5.0,1.0,,2.0,-1.0,0.0,1.0,3.0,,,,
Nick King,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,3.0,7.0,2.0,3.0,,5.0,5.0,,,3.0,,,,
Nick King,Villain Arc,0.0,-2.0,,2.0,,4.0,6.0,,3.0,-1.0,,,,
Nick King,Undercover Mob,-1.0,3.0,4.0,,,-1.0,-1.0,0.0,5.0,,,,,
Nick King,...The Last of the Groomsmaids!,4.0,2.0,4.0,,,4.0,5.0,,-2.0,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Clowncore,2.0,4.0,4.0,,1.0,,4.0,3.0,3.0,1.0,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",A Rip-Roaring Road Rager,-1.0,-2.0,4.0,1.0,3.0,,-2.0,,1.0,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",A Midsummer Night's Stream,-2.0,4.0,-1.0,-2.0,3.0,,7.0,,4.0,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Songs to Send Your FBI Agent,3.0,2.0,4.0,1.0,-1.0,,4.0,1.0,,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Dance Dance Evolution!,5.0,3.0,,3.0,-2.0,,4.0,2.0,,2.0,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",A Dot in the Shark,2.0,-1.0,-4.0,-5.0,-3.0,,2.0,3.0,2.0,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability","Red, White, Black, and Blue",-2.0,3.0,4.0,-2.0,3.0,,4.0,1.0,,3.0,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Pub Hubbub,1.0,3.0,2.0,3.0,4.0,,-1.0,,-1.0,1.0,2.0,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,-3.0,-2.0,-2.0,3.0,3.0,,-5.0,,,1.0,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Villain Arc,-2.0,-1.0,3.0,2.0,-2.0,,-2.0,1.0,,3.0,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",Undercover Mob,0.0,-1.0,3.0,,,,-1.0,0.0,-2.0,,,,,
"when questioned should i become a prisoner of war, i am required to give artist, song and album title. i will avoid answering further questions to the utmost of my ability",...The Last of the Groomsmaids!,3.0,-3.0,3.0,,4.0,,-3.0,,1.0,,,,,
Rowan,Clowncore,2.0,-1.0,-2.0,,3.0,1.0,,2.0,3.0,1.0,,,,
Rowan,A Rip-Roaring Road Rager,-2.0,1.0,-2.0,-2.0,2.0,-2.0,,,3.0,,1.0,,,
Rowan,A Midsummer Night's Stream,-2.0,1.0,4.0,4.0,1.0,0.0,,,-3.0,,,,,
Rowan,Songs to Send Your FBI Agent,-1.0,3.0,-1.0,2.0,-2.0,5.0,,1.0,,,,,,
Rowan,Dance Dance Evolution!,3.0,-3.0,-2.0,5.0,2.0,4.0,,3.0,,-2.0,,,,
Rowan,A Dot in the Shark,0.0,-3.0,1.0,5.0,1.0,3.0,,2.0,-2.0,,,,,
Rowan,"Red, White, Black, and Blue",3.0,2.0,-1.0,1.0,3.0,-4.0,,0.0,-3.0,-3.0,,,,
Rowan,Pub Hubbub,3.0,-1.0,1.0,,-2.0,2.0,,0.0,-2.0,1.0,2.0,,,
Rowan,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,1.0,4.0,5.0,5.0,1.0,1.0,,,,-3.0,,,,
Rowan,Villain Arc,0.0,3.0,1.0,-1.0,2.0,2.0,,,3.0,3.0,,,,
Rowan,Undercover Mob,6.0,-3.0,-3.0,,,3.0,,0.0,2.0,,,,,
Rowan,...The Last of the Groomsmaids!,-3.0,4.0,-2.0,,3.0,2.0,,,3.0,,,,,
brianmck12,Clowncore,5.0,-1.0,2.0,,-3.0,4.0,,,-3.0,4.0,,,,
brianmck12,A Rip-Roaring Road Rager,,,,,,,,,,,,,,
brianmck12,A Midsummer Night's Stream,5.0,2.0,3.0,1.0,-2.0,0.0,-3.0,,,,,,,
brianmck12,Songs to Send Your FBI Agent,4.0,2.0,-3.0,6.0,3.0,-2.0,-1.0,,,,,,,
brianmck12,Dance Dance Evolution!,4.0,4.0,3.0,1.0,-3.0,3.0,-2.0,,,1.0,,,,
brianmck12,A Dot in the Shark,5.0,3.0,-1.0,1.0,-2.0,2.0,-1.0,,-2.0,,,,,
brianmck12,"Red, White, Black, and Blue",1.0,-2.0,5.0,2.0,-3.0,-1.0,-2.0,,2.0,,,,,
brianmck12,Pub Hubbub,4.0,6.0,3.0,,4.0,2.0,-1.0,,1.0,-2.0,1.0,,,
brianmck12,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
brianmck12,Villain Arc,4.0,,-1.0,2.0,2.0,3.0,,,0.0,3.0,,,,
brianmck12,Undercover Mob,2.0,0.0,2.0,,,0.0,-1.0,,2.0,,,,,
brianmck12,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
fionajeon,Clowncore,5.0,3.0,-2.0,,5.0,2.0,7.0,6.0,,-2.0,,,,
fionajeon,A Rip-Roaring Road Rager,,2.0,1.0,1.0,-1.0,-2.0,1.0,,,,,,,
fionajeon,A Midsummer Night's Stream,-1.0,-3.0,2.0,4.0,2.0,-2.0,-1.0,,,,,,,
fionajeon,Songs to Send Your FBI Agent,,,,,,,,,,,,,,
fionajeon,Dance Dance Evolution!,,,,,,,,,,,,,,
fionajeon,A Dot in the Shark,3.0,5.0,4.0,1.0,3.0,-2.0,-1.0,3.0,,,,,,
fionajeon,"Red, White, Black, and Blue",4.0,-2.0,-3.0,3.0,1.0,4.0,1.0,,,4.0,,,,
fionajeon,Pub Hubbub,-1.0,-1.0,,-2.0,,-1.0,,-5.0,,-2.0,-5.0,,,
fionajeon,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
fionajeon,Villain Arc,2.0,2.0,5.0,-2.0,2.0,1.0,1.0,-2.0,,-2.0,,,,
fionajeon,Undercover Mob,0.0,1.0,0.0,,,-1.0,-1.0,15.0,,,,,,
fionajeon,...The Last of the Groomsmaids!,-2.0,-2.0,5.0,,3.0,-2.0,8.0,,,,,,,
Em Johnson,Clowncore,1.0,5.0,2.0,,3.0,0.0,0.0,0.0,5.0,,,,,
Em Johnson,A Rip-Roaring Road Rager,4.0,-2.0,-3.0,-3.0,-2.0,0.0,2.0,,-3.0,,-5.0,,,
Em Johnson,A Midsummer Night's Stream,,,,,,,,,,,,,,
Em Johnson,Songs to Send Your FBI Agent,5.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-3.0,,,,,,
Em Johnson,Dance Dance Evolution!,2.0,,4.0,2.0,2.0,-4.0,-1.0,8.0,,,,,,
Em Johnson,A Dot in the Shark,,,,,,,,,,,,,,
Em Johnson,"Red, White, Black, and Blue",-1.0,0.0,,-3.0,-2.0,3.0,-2.0,1.0,,,,,,
Em Johnson,Pub Hubbub,5.0,,,1.0,-1.0,3.0,5.0,6.0,4.0,,1.0,,,
Em Johnson,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,2.0,-1.0,1.0,2.0,4.0,-2.0,1.0,,,,,,,
Em Johnson,Villain Arc,-2.0,4.0,,2.0,-1.0,-1.0,2.0,,-1.0,,,,,
Em Johnson,Undercover Mob,,,,,,,,,,,,,,
Em Johnson,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
CyberGrifter,Clowncore,,,,,,,,,,,,,,
CyberGrifter,A Rip-Roaring Road Rager,1.0,-1.0,2.0,2.0,-2.0,-1.0,7.0,,1.0,,,,,
CyberGrifter,A Midsummer Night's Stream,,,,,,,,,,,,,,
CyberGrifter,Songs to Send Your FBI Agent,,,,,,,,,,,,,,
CyberGrifter,Dance Dance Evolution!,,,,,,,,,,,,,,
CyberGrifter,A Dot in the Shark,,,,,,,,,,,,,,
CyberGrifter,"Red, White, Black, and Blue",,,,,,,,,,,,,,
CyberGrifter,Pub Hubbub,0.0,-2.0,-1.0,-1.0,1.0,-2.0,1.0,1.0,3.0,1.0,,,,
CyberGrifter,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
CyberGrifter,Villain Arc,,,,,,,,,,,,,,
CyberGrifter,Undercover Mob,,,,,,,,,,,,,,
CyberGrifter,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
Rinu,Clowncore,,,,,,,,,,,,,,
Rinu,A Rip-Roaring Road Rager,,,,,,,,,,,,,,
Rinu,A Midsummer Night's Stream,,,,,,,,,,,,,,
Rinu,Songs to Send Your FBI Agent,,,,,,,,,,,,,,
Rinu,Dance Dance Evolution!,,,,,,,,,,,,,,
Rinu,A Dot in the Shark,,,,,,,,,,,,,,
Rinu,"Red, White, Black, and Blue",,,,,,,,,,,,,,
Rinu,Pub Hubbub,,,,,,,,,,,,,,
Rinu,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
Rinu,Villain Arc,1.0,3.0,4.0,3.0,3.0,4.0,4.0,,4.0,3.0,,,,
Rinu,Undercover Mob,,,,,,,,,,,,,,
Rinu,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
Marianna Orth,Clowncore,,,,,,,,,,,,,,
Marianna Orth,A Rip-Roaring Road Rager,,,,,,,,,,,,,,
Marianna Orth,A Midsummer Night's Stream,,,,,,,,,,,,,,
Marianna Orth,Songs to Send Your FBI Agent,,,,,,,,,,,,,,
Marianna Orth,Dance Dance Evolution!,,,,,,,,,,,,,,
Marianna Orth,A Dot in the Shark,,,,,,,,,,,,,,
Marianna Orth,"Red, White, Black, and Blue",,,,,,,,,,,,,,
Marianna Orth,Pub Hubbub,,,,,,,,,,,,,,
Marianna Orth,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
Marianna Orth,Villain Arc,,,,,,,,,,,,,,
Marianna Orth,Undercover Mob,,,,,,,,,,,,,,
Marianna Orth,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
Andrew Polaski,Clowncore,,,,,,,,,,,,,,
Andrew Polaski,A Rip-Roaring Road Rager,2.0,2.0,2.0,3.0,3.0,3.0,,,3.0,,1.0,,,
Andrew Polaski,A Midsummer Night's Stream,,,,,,,,,,,,,,
Andrew Polaski,Songs to Send Your FBI Agent,,,,,,,,,,,,,,
Andrew Polaski,Dance Dance Evolution!,,,,,,,,,,,,,,
Andrew Polaski,A Dot in the Shark,,,,,,,,,,,,,,
Andrew Polaski,"Red, White, Black, and Blue",,,,,,,,,,,,,,
Andrew Polaski,Pub Hubbub,-2.0,3.0,4.0,2.0,3.0,2.0,-1.0,,-1.0,2.0,1.0,,,
Andrew Polaski,ðŸ”¥ Songs for Biggest Spleen ðŸ”¥,,,,,,,,,,,,,,
Andrew Polaski,Villain Arc,,,,,,,,,,,,,,
Andrew Polaski,Undercover Mob,,,,,,,,,,,,,,
Andrew Polaski,...The Last of the Groomsmaids!,,,,,,,,,,,,,,
